QTR,YOY
1992-03-01,13.6
1992-06-01,14.1
1992-09-01,14.6
1992-12-01,14.6
1993-03-01,15.3
1993-06-01,13.5
1993-09-01,12.9
1993-12-01,14.1
1994-03-01,14.1
1994-06-01,13.3
1994-09-01,13.1
1994-12-01,12
1995-03-01,11.9
1995-06-01,11
1995-09-01,10.4
1995-12-01,10.8
1996-03-01,10.9
1996-06-01,9.4
1996-09-01,9.2
1996-12-01,10.3
1997-03-01,10.1
1997-06-01,10
1997-09-01,8.6
1997-12-01,8.6
1998-03-01,7.3
1998-06-01,6.9
1998-09-01,7.8
1998-12-01,9.1
1999-03-01,8.9
1999-06-01,7.9
1999-09-01,7.6
1999-12-01,6.7
2000-03-01,8.7
2000-06-01,9.1
2000-09-01,8.8
2000-12-01,7.5
2001-03-01,9.5
2001-06-01,8.6
2001-09-01,8
2001-12-01,7.5
2002-03-01,8.9
2002-06-01,8.8
2002-09-01,9.6
2002-12-01,9.1
2003-03-01,11.1
2003-06-01,9.1
2003-09-01,10
2003-12-01,10
2004-03-01,10.6
2004-06-01,11.6
2004-09-01,9.8
2004-12-01,8.8
2005-03-01,11.1
2005-06-01,11.1
2005-09-01,10.8
2005-12-01,12.4
2006-03-01,12.5
2006-06-01,13.7
2006-09-01,12.2
2006-12-01,12.5
2007-03-01,13.8
2007-06-01,15
2007-09-01,14.3
2007-12-01,13.9
2008-03-01,11.5
2008-06-01,10.9
2008-09-01,9.5
2008-12-01,7.1
2009-03-01,6.4
2009-06-01,8.2
2009-09-01,10.6
2009-12-01,11.9
2010-03-01,12.2
2010-06-01,10.8
2010-09-01,9.9
2010-12-01,9.9
2011-03-01,10.2
2011-06-01,10
2011-09-01,9.4
2011-12-01,8.8
2012-03-01,8.1
2012-06-01,7.7
2012-09-01,7.5
2012-12-01,8.1
2013-03-01,7.9
2013-06-01,7.6
2013-09-01,7.9
2013-12-01,7.7
2014-03-01,7.5
2014-06-01,7.6
2014-09-01,7.2
2014-12-01,7.3
2015-03-01,7.1
2015-06-01,7.1
2015-09-01,7
2015-12-01,6.9
2016-03-01,6.9
2016-06-01,6.8
2016-09-01,6.8
2016-12-01,6.9
2017-03-01,7
2017-06-01,7
2017-09-01,6.9
2017-12-01,6.8
2018-03-01,6.9
2018-06-01,6.9
2018-09-01,6.7
2018-12-01,6.5
2019-03-01,6.3
2019-06-01,6
2019-09-01,5.9
2019-12-01,5.8
2020-03-01,-6.9
2020-06-01,3.1
2020-09-01,4.8
2020-12-01,6.4
2021-03-01,18.7
2021-06-01,8.3
2021-09-01,5.2
2021-12-01,4.3
2022-03-01,4.8
2022-06-01,0.4
2022-09-01,3.9
2022-12-01,2.9
